Date,Prix de l'électricité hors tax €/kWh,Prix de l'électricité €/kWh
12/01/23,"0,2793","0,3778"
06/01/23,"0,3592","0,4350"
12/01/22,"0,3791","0,4489"
06/01/22,"0,2622","0,3437"
12/01/21,"0,2015","0,2994"
06/01/21,"0,1767","0,2702"
12/01/20,"0,1798","0,2702"
06/01/20,"0,1872","0,2792"
12/01/19,"0,1954","0,2860"
06/01/19,"0,1948","0,2839"
12/01/18,"0,1976","0,2936"
06/01/18,"0,1872","0,2824"
12/01/17,"0,1790","0,2877"
06/01/17,"0,1929","0,2857"
12/01/16,"0,1815","0,2745"
06/01/16,"0,1567","0,2544"
12/01/15,"0,1842","0,2352"
06/01/15,"0,1817","0,2126"
12/01/14,"0,1678","0,2043"
06/01/14,"0,1673","0,2097"
12/01/13,"0,1641","0,2215"
06/01/13,"0,1583","0,2173"
12/01/12,"0,1684","0,2223"
06/01/12,"0,1590","0,2327"
12/01/11,"0,1595","0,2119"
06/01/11,"0,1572","0,2136"
